Frase,id_item,anotadoras,anotadoras 2(valeria_janaina)
você é frouxo,2639,Caráter,Caráter
homens corruptos,2642,Papel Social,Papel Social
você tá perdido,2643,Caráter,Emoção
homem lutador,2645,Papel Social,Papel Social
ele é honesto,2660,Caráter,Caráter
você está casado,2661,Papel Social,Papel Social
corpinho enxuto,2665,Aparência,Aparência
ele está inseguro,2666,Emoção,Emoção
ele é feio,2680,Aparência,Aparência
rapaz caipira,2681,Papel Social,Papel Social
ele cansado,2693,Aparência,Emoção
homem calmo,2694,Caráter,Emoção
roqueiro quarentão,2707,Papel Social,Papel Social
você é sensual,2713,Aparência,Aparência
homem incomum,2720,Caráter,Outro
homem feminino,2722,Aparência,Caráter
beethoven era roqueiro,2725,Papel Social,Papel Social
você é muito enigmático,2726,Outro,Caráter
menino mijão,2733,Outro,Aparência
rei é babaca,2741,Caráter,Caráter
rei é gordinho,2742,Aparência,Aparência
rei é sozinho,2743,Outro,Emoção
rei está nu,2744,Aparência,Aparência
josé é fraco,2745,Papel Social,Aparência
joão é forte,2746,Aparência,Aparência
cabral foi navegante,2747,Papel Social,Papel Social
"senhores, juízes",2751,Papel Social,Papel Social
homem é mais bicha,2752,Papel Social,Caráter
ele é cordial,2765,Caráter,Caráter
moleque novo,2773,Aparência,Aparência
você é super-homem,2774,Papel Social,Outro
homem é responsável,2775,Caráter,Caráter
eles vão ser patrão,2777,Papel Social,Papel Social
esaú é cabeludo,2789,Aparência,Aparência
você está mais velho,2790,Papel Social,Aparência
você está bem disposto,2791,Caráter,Aparência
homem doce,2797,Caráter,Emoção
"marido, seu príncipe",2811,Papel Social,Papel Social
"maridos, orgulho",2815,Outro,Caráter
"maridos, bravos",2817,Papel Social,Emoção
amigo é melhor,2820,Papel Social,Outro
johnny é executivo,2821,Papel Social,Papel Social
namorado bonito,2832,Aparência,Aparência
você é legal,2835,Caráter,Caráter
eles ficam tão furiosos,2841,Emoção,Emoção
você tá forte,2844,Aparência,Aparência
você tá gordo,2845,Aparência,Aparência
você é corno,2846,Papel Social,Papel Social
ele é porteiro,2849,Papel Social,Papel Social
menino tocador,2850,Papel Social,Papel Social
você parece tão radical,2857,Outro,Caráter
você é tão elegante,2867,Aparência,Aparência
eles estão doidinhos,2875,Emoção,Emoção
baixinho baixinho,2876,Aparência,Aparência
você é doido,2877,Caráter,Emoção
bob é alegria,2883,Emoção,Emoção
meninos pobres,2887,Papel Social,Papel Social
homem apaixonado(apaixonado,2891,Emoção,Emoção
você faz tudo parecer tão fácil,2892,Outro,Emoção
ele fica doente,2893,Outro,Aparência
você tá mesmo afim,2894,Emoção,Emoção
você é frio,2896,Caráter,Emoção
homem sofredor,2898,Emoção,Emoção
menino criança,2902,Papel Social,Papel Social
homem bravo,2904,Caráter,Emoção
você é insensível,2912,Caráter,Emoção
"marido, amante",2917,Papel Social,Papel Social
ele foi doutor,2920,Papel Social,Papel Social
"namorado, garçom",2921,Papel Social,Papel Social
meninos cowboys,2927,Papel Social,Papel Social
"menino, meu peão",2930,Papel Social,Papel Social
você é chorão,2931,Emoção,Emoção
você é envolvente,2932,Caráter,Emoção
moço caseiro,2941,Caráter,Caráter
joão pegador,2954,Caráter,Caráter
joão inteligente,2955,Caráter,Caráter
você é canalha,2966,Caráter,Caráter
moços bonitinhos,2972,Aparência,Aparência
você é bonzinho,2975,Caráter,Emoção
você está surdo,2980,Outro,Outro
homens negros,2981,Papel Social,Aparência
homens nús,2982,Aparência,Aparência
ele estar nu,2991,Aparência,Aparência
ele é gatinho,2995,Aparência,Aparência
ele é gatão,2996,Aparência,Aparência
ele é casado,3000,Papel Social,Papel Social
meninos maus,3001,Caráter,Caráter
"garoto, acrobata",3002,Outro,Papel Social
homem sossegado,3008,Outro,Caráter
moreno frajola,3010,Aparência,Aparência
moço bonitão,3021,Aparência,Aparência
"novinho, novinho",3025,Aparência,Aparência
homem virgem,3026,Papel Social,Aparência
ele está apressado,3027,Outro,Emoção
joão menino,3028,Papel Social,Papel Social
você está tão mirrado,3029,Aparência,Aparência
você é tão safadinho,3035,Outro,Caráter
miguel é bom,3036,Caráter,Emoção
mulato iludido,3041,Emoção,Emoção
homens ingratos,3042,Caráter,Caráter
ele é tão sincero,3049,Caráter,Caráter
você é sádico,3052,Caráter,Caráter
menino é show,3053,Caráter,Caráter
moço ficou tão empolgado,3056,Emoção,Emoção
menino maluquinho,3059,Caráter,Emoção
você tá tão chique,3061,Aparência,Aparência
fino menino,3063,Aparência,Aparência
você ficou nu,3065,Aparência,Aparência
senhor ministro,3068,Caráter,Papel Social
moço lindo,3078,Aparência,Aparência
menino soldado,3081,Papel Social,Papel Social
homens irmãos,3082,Papel Social,Papel Social
ele é guerreiro,3091,Papel Social,Caráter
ele é mandingueiro,3093,Papel Social,Caráter
homem é mais sólido,3099,Outro,Aparência
você é protetor,3100,Caráter,Caráter
homem é mau,3106,Caráter,Caráter
homem vil,3111,Outro,Aparência
ele era tão pobre,3121,Papel Social,Papel Social
ele era tão cego,3122,Outro,Outro
ele era tão frágil,3123,Caráter,Aparência
ele era tão triste,3124,Emoção,Emoção
ele era tão sujo,3125,Aparência,Aparência
garoto prodígio,3129,Papel Social,Caráter
você parece tão vulgar,3130,Caráter,Aparência
você está tão sossegado,3134,Outro,Caráter
ele está preocupado,3135,Emoção,Emoção
homem nú,3141,Aparência,Aparência
eles são patéticos,3148,Caráter,Caráter
eles são caretas,3150,Caráter,Caráter
eles são românticos,3152,Caráter,Caráter
voce é muito importante,3154,Outro,Outro
menino baiano,3155,Papel Social,Papel Social
você era democrata,3164,Papel Social,Papel Social
"ele, republicano",3165,Papel Social,Papel Social
você é burguês,3168,Papel Social,Papel Social
garoto fique esperto,3169,Outro,Emoção
visionario impar,3171,Outro,Caráter
drich é visionario,3173,Outro,Caráter
você é muito vacilão,3174,Caráter,Caráter
eles são tão complicados,3175,Caráter,Emoção
você está enganado,3176,Outro,Emoção
ele é profundo,3178,Outro,Emoção
drich é intenso,3179,Outro,Emoção
drich suave,3180,Outro,Caráter
homem tá cansado,3198,Aparência,Aparência
você foi maldoso,3201,Caráter,Caráter
você está tão triste,3202,Emoção,Emoção
homem fazendeiro,3209,Papel Social,Papel Social
homem boiadeiro,3210,Papel Social,Papel Social
homem grandalhão,3218,Aparência,Aparência
marido fica triste,3233,Emoção,Emoção
rapaz cortês,3234,Papel Social,Caráter
você estar feliz,3236,Emoção,Emoção
você estar contente,3237,Emoção,Emoção
moço ciumento,3238,Caráter,Emoção
você foi inconsequente,3240,Outro,Emoção
meretíssimo sr.,3242,Papel Social,Papel Social
marido bonito,3247,Aparência,Aparência
você for macho,3256,Outro,Caráter
homem solteiro,3257,Papel Social,Papel Social
você tá muito inseguro,3269,Caráter,Emoção
ele é mais bonito,3291,Aparência,Aparência
homem é mal acabado,3293,Outro,Aparência
eles são tão importantes,3294,Outro,Caráter
você foi feliz,3295,Emoção,Emoção
você é só prazer,3296,Outro,Emoção
pinto pequeno,3299,Aparência,Aparência
homem é preciso,3310,Papel Social,Aparência
eles estão enganados,3312,Caráter,Emoção
você está mais jovem,3313,Aparência,Aparência
homem fica preso,3317,Papel Social,Papel Social
você parece tão distante,3321,Outro,Emoção
nois é patrão,3348,Papel Social,Caráter
ele é peludinho,3359,Aparência,Aparência
homens ficam louco,3360,Emoção,Emoção
ele era funkeiro,3366,Papel Social,Papel Social
você tá muito feliz,3368,Emoção,Emoção
garoto chato,3369,Caráter,Caráter
namorado ciumento,3389,Papel Social,Emoção
moço afoito,3408,Outro,Emoção
você fica ainda mais bonito,3474,Aparência,Aparência
garoto imperfeito,3482,Aparência,Aparência
nois tem orgulho,3495,Outro,Emoção
homem pai,3504,Papel Social,Papel Social
ele ficou desesperado,3507,Emoção,Emoção
ele é indefinido,3514,Outro,Emoção
shakespeare tio,3546,Papel Social,Papel Social
ele era alto,3575,Aparência,Aparência
você é complicado,3587,Caráter,Emoção
ele é herói,3627,Papel Social,Papel Social
homens tristes,3705,Emoção,Emoção
homem canalha,3718,Caráter,Papel Social
lessa era goleiro,3734,Papel Social,Papel Social
ele é justiceiro,3738,Papel Social,Papel Social
senhores professores,3742,Papel Social,Papel Social
moço fulano,3787,Outro,Papel Social
"marido, irmão",3788,Papel Social,Papel Social
ele estava drogado,3848,Outro,Aparência
ele está mais bonito,3887,Aparência,Aparência
ele está mais bonito,3887,Aparência,Aparência
você é bonito,3888,Aparência,Aparência
ele é mais leve,3945,Outro,Aparência
"baixinho, feioso",4125,Aparência,Aparência
ele é papai,4234,Papel Social,Papel Social
você está muito carente,4243,Emoção,Emoção
corpinho bonito,4249,Aparência,Aparência
ele é complicado,4271,Caráter,Emoção
você é tão envolvente,4292,Caráter,Emoção
você está muito pegajoso,4300,Caráter,Emoção
menino solitario,4418,Outro,Emoção
homem amargo,4469,Outro,Emoção
homens incertos,4471,Caráter,Emoção
menino triste,4472,Emoção,Emoção
menino triste,4472,Emoção,Emoção
eles são engraçados,4474,Emoção,Emoção
você fica irritado,4521,Emoção,Emoção
ele fica revolto,4529,Outro,Emoção
ele ta muito ruim,4536,Caráter,Emoção
você é encanto,4636,Aparência,Emoção
homem tá feliz,4641,Emoção,Emoção
você sou apaixonado,4642,Emoção,Emoção
"cabisbaixo, triste",4644,Emoção,Emoção
"cabisbaixo, triste",4644,Emoção,Emoção
você ta feliz,4651,Emoção,Emoção
você é orgulhoso,4736,Caráter,Emoção
arlindo é pai,4748,Papel Social,Papel Social
ele fica vermelhinho,4762,Aparência,Aparência
rei bonito,4775,Aparência,Aparência
você tá tá muito louco,4801,Emoção,Emoção
pirraça pai,4804,Outro,Papel Social
rei é mais bonito,4953,Aparência,Aparência
homem é ciumento,5122,Caráter,Emoção
vancê ta muito enganado,5178,Outro,Emoção
ciumes louco,5187,Caráter,Emoção
você é solidão,5214,Outro,Emoção
ele é carinho,5248,Caráter,Emoção
ele é encantador,5292,Caráter,Emoção
ele fica envergonhado,5356,Emoção,Emoção
você é irmão,5494,Papel Social,Papel Social
ele é carinhoso,5553,Caráter,Emoção
homens orgulhosos,5557,Caráter,Emoção
ele era casado,5567,Papel Social,Papel Social
ele foi bom,5588,Caráter,Emoção
você está muito desligado,5597,Outro,Emoção
você tá muito nervozinho,5599,Emoção,Emoção
você ficou contente,5615,Emoção,Emoção
você ficou contente,5615,Emoção,Emoção
"moço, polícia",5635,Papel Social,Papel Social
ele estava tristonho,5636,Emoção,Emoção
você tá tão feliz,5637,Emoção,Emoção
você ficou mal amado,5639,Outro,Emoção
ele é medicinal,5640,Caráter,Papel Social
"senhores, doutores",5641,Papel Social,Papel Social
homens guerreiros,5649,Papel Social,Papel Social
"pindeleco, primo-avô",5675,Papel Social,Papel Social
primo irmão,5802,Outro,Papel Social
ele foi culpado inocente,5928,Outro,Emoção
ele está solitário,5976,Outro,Emoção
kiko bonito,5994,Aparência,Aparência
"homem, solidão",6039,Outro,Emoção
ele é verde,6055,Aparência,Aparência
rico bonito,6111,Aparência,Aparência
ele está tão satisfeito,6384,Caráter,Emoção
você é tão carinhoso,6480,Caráter,Emoção
menino danado,6483,Caráter,Caráter
você era pegador,6486,Caráter,Caráter
gil é genial,6608,Caráter,Papel Social
gilberto é doutor,6609,Papel Social,Papel Social
gil é excelência,6616,Caráter,Papel Social
gilberto é lutador,6620,Papel Social,Papel Social
gil é orquestra,6621,Papel Social,Papel Social
gilberto é autor,6624,Papel Social,Papel Social
ele ficou bem feio,6663,Aparência,Aparência
senhor motorista,6751,Papel Social,Papel Social
você está muito distante,6757,Outro,Emoção
senhores jurados,6787,Papel Social,Papel Social
senhores banqueiros,6788,Papel Social,Papel Social
senhores juízes,6791,Papel Social,Papel Social
careca feio,6847,Aparência,Aparência
senhor é policial,6884,Papel Social,Papel Social
césar era culpado,6974,Outro,Emoção
você tá irmão,6981,Outro,Papel Social
rei professor,7021,Papel Social,Papel Social
você tá satisfeito,7170,Outro,Emoção
você tá muito doido,7198,Emoção,Emoção
eles são tristes,7359,Emoção,Emoção
rapaz alto,7545,Aparência,Aparência
homens são muito orgulhosos,7686,Caráter,Emoção
esperando amor,7824,Outro,Emoção
marcelão baixinho,8210,Aparência,Aparência
"menino, primo",8211,Papel Social,Papel Social
tio bertin,8326,Papel Social,Papel Social
maluco é complicado,8463,Caráter,Emoção
homem é medonho,8858,Caráter,Emoção
homem feioso,8879,Aparência,Aparência
homem é feio,8880,Aparência,Aparência
marido contente,8919,Emoção,Emoção
avô campeiro,8947,Papel Social,Papel Social
ele é esperança,8987,Outro,Emoção
"moreno, bonito",9074,Aparência,Aparência
ele é alívio,9089,Outro,Emoção
você está desesperado,9091,Outro,Emoção
você está desesperado,9091,Emoção,Emoção
você é só ciúme,9251,Outro,Emoção
cruel delírio,9363,Outro,Emoção
rostinho bonito,9484,Aparência,Aparência
"marido, médico",9578,Papel Social,Papel Social
você é frustrado,9602,Caráter,Emoção
